TotalCases,TotalDeaths,POPEST_2018_B_U18,POPEST_2018_B_18TO64,POPEST_2018_B_65PLUS,POPEST_2018_B_85PLUS,UNEMPLOYED,VETPOP_2019_65TO84,VETPOP_2019_85PLUS,VETPOP_2019_TOTAL,HOUSEHOLD_SIZE,HOUSING_UNITS,AREA_TOTAL,AREA_WATER,PER_AREA_WATER,DENSITY_POP,DENSITY_HOUSE,PER_OBESITY,PER_DIABETES,OVERCROWDING,PER_DRIVE_ALONE,PER_RURAL,POP_RURAL,PER_UNINSURED,PER_CHILD,PER_ADULT,PER_65PLUS,PER_85PLUS,MED_INCOME_2018,PER_COLLEGE_EDU,INCOME_RATIO,PER_UNEMPLOYED
14635,180,81893,207392,48605,5077,7576,8396.613435,1929.198539,22700.19463,2.69,132492,873.81,495.45,0.566999691,769.9,350.2,0.337,0.116,2.960625837,0.812001595,0.061498272,17915,0.154008002,0.242365859,0.613785552,0.14384859,0.0150256,69369,0.646737372,5.497273966,0.036529857
161,14,1115,4734,729,87,63,62.4319654,18.43863781,197.094124,2.7,2237,896.2,2.79,0.003113144,7.2,2.5,0.226,0.052,3.384615385,0.789622642,0.22334004,1443,0.248918919,0.169504409,0.719671633,0.110823959,0.013225905,55039,0.222073876,3.249335479,0.013307985
561,11,5349,13488,7967,1139,341,1123.854619,348.7178761,2168.685149,2.41,12778,1061.68,3.47,0.003268405,23.5,12.1,0.289,0.039,3.80952381,0.724481965,0.536538229,13326,0.238419401,0.199559767,0.503208476,0.297231756,0.042493658,58325,0.487639975,4.540496935,0.025281732
41,0,363,814,211,19,17,20.88998428,11.07388331,44.45906154,3.31,580,901.08,0.87,0.000965508,1.4,0.6,0.239,0.109,3.181818182,0.714905933,1,1226,0.219321149,0.261527378,0.586455331,0.152017291,0.013688761,75833,0.564102564,5.896491301,0.020884521
179,6,1621,4225,1738,215,126,234.7907025,64.82621575,503.6734216,2.77,3710,859.37,7.36,0.008564413,8.5,4.4,0.28,0.08,3.035714286,0.782565462,1,7210,0.156175163,0.213739451,0.557093882,0.229166667,0.028349156,60492,0.669467787,6.430363865,0.029822485
1245,24,5621,11722,3483,410,290,508.1695785,88.6927893,1045.747983,2.82,8794,1069.85,3.17,0.002963032,18.6,8.2,0.305,0.235,10.81694402,0.766954787,0.652799515,12930,0.25046436,0.269903006,0.562854125,0.167242869,0.01968693,53006,0.335797254,4.493866547,0.024739805
1292,22,5630,12714,3551,497,323,512.4048168,156.3059948,1315.885894,2.64,10158,929.33,3.36,0.003615508,24.3,11,0.338,0.109,2.609756098,0.837935967,0.193876193,4369,0.238962114,0.257136332,0.580680521,0.162183147,0.022699246,47170,0.460423453,4.908380438,0.025405065
4290,109,31842,78532,23617,2703,2061,3970.936741,595.1530205,9329.893626,2.63,53727,979.18,46.37,0.047355951,129.6,57.6,0.304,0.13,3.032230704,0.784450765,0.431504753,52159,0.195334922,0.237642827,0.586099066,0.176258107,0.020172997,54370,0.591542842,4.455735015,0.026244079
3217,107,31951,72740,19016,2581,2381,3252.269293,654.6175542,7907.427089,2.61,49514,275.76,2.46,0.008920801,445.4,181.2,0.303,0.104,3.355704698,0.838952681,0.133623593,16266,0.213271684,0.258279645,0.588002296,0.15371806,0.020863815,49287,0.559081341,4.611694223,0.032733022
1378,40,6371,17060,4929,512,459,788.7902637,134.3322816,1722.714085,2.73,10917,801.6,14.14,0.017639721,33.8,13.9,0.369,0.146,4.333333333,0.783978484,0.689031725,18331,0.228451398,0.224647391,0.601551481,0.173801128,0.018053597,50298,0.434744138,5.234780865,0.026905041
4272,85,41018,100065,22611,2396,2497,5187.148237,837.0676139,20457.48862,2.89,50015,714.81,3.52,0.004924386,184.9,70.3,0.338,0.101,3.144402163,0.857501899,0.261622559,34412,0.138008654,0.250577297,0.611293022,0.138129681,0.014637067,70931,0.594196936,3.781724512,0.02495378
4052,93,9160,20125,4545,598,604,489.467717,141.3162543,1240.048808,2.86,13541,1004.78,0.1,9.95E-05,36.1,13.5,0.324,0.081,6.660785179,0.822678623,0.230998263,8379,0.231368311,0.270765593,0.594886196,0.134348212,0.017676618,47080,0.471672041,4.144885511,0.030012422
80,3,694,1633,701,96,49,88.79575998,37.64607143,201.5667573,2.31,1943,904.1,20.6,0.02278509,3.8,2.2,0.261,0.119,1.538461539,0.776859504,1,3353,0.270481144,0.229194188,0.539299868,0.231505945,0.031704095,32921,0.444061962,4.97334855,0.030006124
294,7,1873,4499,2112,327,121,342.7899037,111.0183099,732.6460273,2.57,4566,836.39,0.48,0.000573895,10.2,5.5,0.251,0.159,1.33126935,0.716042322,0.643771281,5483,0.242820676,0.220768505,0.530292315,0.24893918,0.03854314,47500,0.515362319,5.083417799,0.026894866
236,9,1594,3062,807,115,67,78.32245855,23.91156817,181.6969604,2.95,2338,920.41,0.6,0.000651883,6.1,2.5,0.25,0.064,4.04040404,0.845301418,0.403349368,2264,0.263626493,0.291781073,0.560497895,0.147721032,0.021050705,39229,0.393830703,3.943008364,0.021881123
